Chain-number-run;Blocks;Total;TotalSelfish;TotalHonest;UncleSelfish;UncleHonest;NephewSelfish;NephewHonest;MinedSelf;MinedHonest;absSelfRev;absHonestRev
chain-1-1_selfPow-50_dyn-true;100001;209580.722222;9833.944444;199746.777778;8771.000000;465.000000;0.944444;343.777778;1062.000000;198938.000000;0.049170;0.998734
chain-1-1_selfPow-50_dyn-false;100002;206640.388889;6937.222222;199703.166667;5964.000000;325.000000;1.222222;348.166667;972.000000;199030.000000;0.034686;0.998506
chain-2-1_selfPow-100_dyn-true;100001;218478.611111;20431.861111;198046.750000;15988.250000;1821.250000;9.611111;659.500000;4434.000000;195566.000000;0.102159;0.990234
chain-2-1_selfPow-100_dyn-false;100002;212664.611111;15162.500000;197502.111111;10586.000000;1410.000000;10.500000;656.111111;4566.000000;195436.000000;0.075812;0.987501
chain-3-1_selfPow-150_dyn-true;100001;226286.250000;32263.694444;194022.555556;21235.250000;4090.500000;32.444444;928.055556;10996.000000;189004.000000;0.161318;0.970113
chain-3-1_selfPow-150_dyn-false;100001;218002.055556;24786.500000;193215.555556;14128.000000;2926.000000;30.500000;917.555556;10628.000000;189372.000000;0.123933;0.966078
chain-4-1_selfPow-200_dyn-true;100001;232795.333333;45790.194444;187005.138889;24257.750000;7324.250000;76.444444;1136.888889;21456.000000;178544.000000;0.228951;0.935026
chain-4-1_selfPow-200_dyn-false;100002;222866.222222;37816.444444;185049.777778;16256.000000;5403.000000;74.444444;1130.777778;21486.000000;178516.000000;0.189080;0.925240
chain-5-1_selfPow-250_dyn-true;100001;237115.916667;60230.361111;176885.555556;24832.250000;10890.500000;128.111111;1265.055556;35270.000000;164730.000000;0.301152;0.884428
chain-5-1_selfPow-250_dyn-false;100001;226410.277778;52508.000000;173902.277778;16844.000000;8172.000000;134.000000;1260.277778;35530.000000;164470.000000;0.262540;0.869511
chain-6-1_selfPow-300_dyn-true;100001;239426.555556;75592.861111;163833.694444;23580.250000;14347.250000;204.611111;1294.444444;51808.000000;148192.000000;0.377964;0.819168
chain-6-1_selfPow-300_dyn-false;100002;228344.166667;68285.833333;160058.333333;16116.000000;10728.000000;203.833333;1294.333333;51966.000000;148036.000000;0.341426;0.800284
chain-7-1_selfPow-350_dyn-true;100001;238486.638889;93070.333333;145416.305556;20226.500000;16778.750000;257.833333;1225.555556;72586.000000;127412.000000;0.465356;0.727089
chain-7-1_selfPow-350_dyn-false;100002;228167.555556;85539.888889;142627.666667;14020.000000;12656.000000;253.888889;1235.666667;71266.000000;128736.000000;0.427695;0.713131
chain-8-1_selfPow-400_dyn-true;100001;234122.333333;109706.277778;124416.055556;15530.000000;17264.000000;286.277778;1042.055556;93890.000000;106110.000000;0.548531;0.622080
chain-8-1_selfPow-400_dyn-false;100001;224765.222222;105770.611111;118994.611111;10546.000000;12907.000000;284.611111;1027.611111;94940.000000;105060.000000;0.528853;0.594973
chain-9-1_selfPow-450_dyn-true;100001;223197.277778;127650.055556;95547.222222;8887.000000;13398.500000;231.055556;680.722222;118532.000000;81468.000000;0.638250;0.477736
chain-9-1_selfPow-450_dyn-false;100001;217168.333333;127219.111111;89949.222222;6250.000000;10010.000000;233.111111;675.222222;120736.000000;79264.000000;0.636096;0.449746
